Timestamp,Leeftijd,Geslacht,Klimervaring,Vereniging,Klimzaal,Dagen_klimmen,Dagen_alternatief_specifiek,Dagen_alternatief_algemeen,Indoor_toprope,Indoor_lead,Indoor_boulder,Indoor_speed,Outdoor_boulder,Outdoor_singlepitch,Outdoor_multipitch,Outdoor_trad,Outdoor_alpinisme,Dal,Verticaal,Overhangend_licht,Overhangend_sterk,Dak,Indoor_RP_toprope,Indoor_RP_lead,Outdoor_RP_lead,Indoor_RP_boulder,Outdoor_RP_boulder,Indoor_OS_toprope,Indoor_OS_lead,Outdoor_OS_lead,Indoor_OS_boulder,Outdoor_OS_boulder,Absolute_kracht,Evenwicht,Uithouding,Routes_lezen,Voetenwerk,Zekeren,Klimtactiek,Angstbeheersing,Flexibiliteit,Focus,Vormspanning,Spotten,Vingerkracht,Touwtechnieken,Side_pull,Pinch,Open_handgreep,Full_crimp,Gaston,Heel_hook,Jam,Voeten_op_wrijving,Pied_main,Lock_off,Knee_bar,Mono,Toe_hook,Dyno,Lay_back,Campus,Voetwissel,Drop_knee
12/14/2020 20:28:19,34,Man,15,Ja,Blueberry hill,1.5,0,2,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,9,8,7,0,4,6a,5c,5c,Blauw,5A,5c,5b,5b,Blauw,<5A,7,7,9,8,7,10,8,6,6,8,7,8,7,10,8,7,8,5,6,4,8,8,8,8,4,0,0,4,7,3,7,7
12/14/2020 21:30:36,37,Vrouw,4,Ja,Blueberry ,1.5,0,4,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,9,9,8,5,1,6b+,Niet van toepassing,Niet van toepassing,Rood,Niet van toepassing,6a+,Niet van toepassing,Niet van toepassing,Blauw,Niet van toepassing,5,7,6,6,7,7,7,7,8,8,6,6,7,5,6,8,6,7,6,6,6,6,9,6,6,6,7,3,6,3,6,7
12/14/2020 21:30:56,46,Man,30,Ja,Biover,1.5,0,4,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,8,8,8,6,7,6c,6b,6b+,Niet van toepassing,Niet van toepassing,6b,6a,6a,Niet van toepassing,Niet van toepassing,7,6,6,7,7,7,6,7,6,7,7,8,7,8,8,8,7,4,6,7,7,6,7,5,3,3,4,1,7,1,3,4
12/14/2020 21:31:20,41,Man,6,Ja,Sport Vlaanderen Brugge,1,2,3,Ja,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,8,9,8,3,5,6b,5c,5c,Niet van toepassing,Niet van toepassing,6a,5c,5b,Niet van toepassing,Niet van toepassing,6,5,6,7,8,8,9,9,8,8,8,6,7,6,8,8,9,4,5,4,0,6,9,6,2,6,0,3,2,4,5,3
12/14/2020 21:31:52,18,Man,8,Ja,Blueberry Hill,2,0,1,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,7,5,7,9,10,7a,7a,7a+,Niet van toepassing,Niet van toepassing,6c,6b,6b,Niet van toepassing,Niet van toepassing,8,7,7,9,9,10,9,7,9,10,9,8,8,10,8,6,9,6,8,9,4,6,8,2,3,5,7,4,6,6,7,8
12/14/2020 21:33:52,22,Man,0.4,Ja,Blueberry hill,0.5,0,0,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,9,9,9,3,4,6a,Niet van toepassing,<5a,Niet van toepassing,Niet van toepassing,5b,Niet van toepassing,<5a,Niet van toepassing,Niet van toepassing,6,6,7,1,5,9,4,8,8,6,8,9,3,10,10,9,8,9,9,10,10,10,10,10,10,10,10,7,7,7,2,3
12/14/2020 21:34:39,39,Vrouw,4,Ja,Bloso Brugge,3.5,0,0,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,7,10,5,0,5,5c,5b,<5a,Oranje,Niet van toepassing,5c,5b,<5a,Oranje,Niet van toepassing,2,7,7,7,7,10,7,7,7,7,7,9,6,9,7,7,7,7,6,5,4,3,5,4,4,7,5,5,5,5,7,5
12/14/2020 21:36:16,32,Vrouw,1,Ja,Bbh kortrijk,1.5,1.5,2,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,9,9,8,4,4,6a,Niet van toepassing,Niet van toepassing,Blauw,Niet van toepassing,5c,Niet van toepassing,Niet van toepassing,Oranje,Niet van toepassing,3,6,8,5,5,10,6,7,7,9,6,3,2,5,7,9,6,0,5,4,2,8,7,5,5,5,5,3,5,1,9,7
12/14/2020 21:37:57,32,Man,6,Ja,Balance,2.5,2,0.5,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Nee,5,7,10,10,10,6c,6b,6b,Zwart,6B+,6b+,6b,6b,Rood,6A+,7,4,6,9,6,9,7,5,6,7,8,8,6,5,8,5,7,6,8,10,3,2,8,7,4,3,8,7,7,8,7,7
12/14/2020 21:39:44,43,Man,25,Nee,Biover,2,0,0,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,6,6,7,9,10,Niet van toepassing,Niet van toepassing,8b,>Wit,8A+,Niet van toepassing,Niet van toepassing,7b+,Niet van toepassing,7A+,6,9,6,10,9,9,8,8,8,8,7,9,8,7,10,10,10,10,10,10,9,10,10,10,10,7,10,0,7,10,10,10
12/14/2020 21:41:35,40,Man,20,Ja,Rhino Boulder Gym,3,2,0,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Ja,4,10,10,10,7,7b,7a,7b,Zwart,7A,7a,7a,7a+,Rood,6B,7,8,7,8,9,9,8,7,4,9,5,7,8,5,10,10,10,10,10,10,10,8,10,10,10,10,10,10,8,10,9,10
12/14/2020 21:41:42,41,Man,5,Ja,Brugge,2,2,1,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,2,9,10,9,9,7a,6b+,6b,Niet van toepassing,Niet van toepassing,6c,6b,6a,Niet van toepassing,Niet van toepassing,8,6,7,4,5,9,7,3,7,8,8,8,9,8,8,9,9,3,6,7,7,4,7,8,7,7,6,7,8,8,6,7
12/14/2020 21:41:48,41,Man,5,Ja,Brugge,2,2,1,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,2,9,10,9,9,7a,6b+,6b,Niet van toepassing,Niet van toepassing,6c,6b,6a,Niet van toepassing,Niet van toepassing,8,6,7,4,5,9,7,3,7,8,8,8,9,8,8,9,9,3,6,7,7,4,7,8,7,7,6,7,8,8,6,7
12/14/2020 21:45:59,27,Man,1,Nee,Blackboxboulder,1.5,0,0,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,8,8,8,8,6,6b,5c,5c,Rood,Niet van toepassing,6a+,5c,5c,Rood,Niet van toepassing,7,5,6,7,8,8,6,8,7,9,6,7,8,7,6,9,5,9,7,9,3,7,6,6,5,6,8,4,5,3,7,5
12/14/2020 21:47:37,39,Man,3,Ja,Klimax ,2.5,1,3,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,Nee,3,8,8,9,9,6c,6b,6a,Blauw,Niet van toepassing,6b+,6b,5c,Blauw,Niet van toepassing,8,6,6,2,3,9,5,2,7,5,6,5,6,7,7,7,4,7,7,9,4,2,3,3,9,6,2,3,3,8,8,1
12/14/2020 21:50:06,23,Man,4,Ja,Biover,3,2,2,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,7,8,8,7,7,6c+,6c,6b+,Zwart,6C+,6c+,6c,6b,Zwart,6B,7,7,7,9,9,8,8,10,5,9,7,7,7,9,8,8,8,4,7,9,8,8,9,9,3,8,9,10,7,8,8,6
12/14/2020 21:50:40,26,Vrouw,2,Ja,Black box boulder,2.5,3,2,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,8,10,9,9,8,6b+,6b+,Niet van toepassing,Rood,6B+,6c,6c,Niet van toepassing,Rood,6C,7,6,8,4,3,9,4,7,7,9,9,7,7,7,7,8,6,6,7,7,3,7,6,8,3,8,5,2,9,7,8,4
12/14/2020 21:52:44,32,Man,9,Ja,Blueberry Hill,2,0,1.5,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,9,10,9,6,5,7a,6b,6a+,Zwart,6A+,7a,6b,6a,Rood,5C,6,7,7,7,7,8,5,4,7,6,7,8,7,7,7,6,6,8,6,9,3,7,8,6,7,2,6,3,6,6,5,9
12/14/2020 21:56:04,49,Man,7,Nee,Bioveer bleau gent,2.5,2,1,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,7,9,10,8,7,6a,Niet van toepassing,Niet van toepassing,Rood,Niet van toepassing,6a,Niet van toepassing,Niet van toepassing,Rood,Niet van toepassing,7,8,8,7,8,9,7,7,9,8,7,7,8,7,6,8,8,7,5,6,8,9,4,5,7,5,6,5,8,7,9,7
12/14/2020 21:56:37,21,Vrouw,2,Nee,Blackboxboulder,2,1,0,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Nee,6,8,8,7,5,5c,Niet van toepassing,<5a,Blauw,<5A,5b,Niet van toepassing,<5a,Blauw,<5A,4,3,7,7,5,9,6,1,5,7,6,7,5,9,6,9,10,6,6,7,6,3,4,1,7,8,7,3,6,9,10,8
12/14/2020 21:57:13,32,Man,5,Ja,Klimax,3,0,2.3,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Ja,1,9,10,7,9,7a+,Niet van toepassing,7a,Rood,Niet van toepassing,6c+,Niet van toepassing,6b+,Blauw,Niet van toepassing,8,7,9,7,8,8,8,7,9,9,9,7,6,9,9,9,6,10,8,7,10,2,3,8,4,3,2,2,5,0,8,8
12/14/2020 21:57:35,30,Vrouw,4,Ja,biover,1,1,4,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,5,9,8,4,3,6b,6a,5c,Blauw,Niet van toepassing,6b,6a,5b,Blauw,Niet van toepassing,5,6,7,5,6,9,5,3,8,7,7,7,6,6,8,7,9,7,5,9,6,3,7,5,3,5,5,5,5,5,9,7
12/14/2020 21:58:52,26,Vrouw,0.5,Ja,Bleau Gent ,2.5,0,1.5,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,8,10,9,6,7,6b,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,6b,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,6,7,9,5,6,8,4,9,7,7,5,6,6,8,8,9,10,6,7,5,8,6,8,7,6,6,7,7,7,7,8,7
12/14/2020 22:03:37,30,Man,8,Ja,Bleau,1,0,1,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,9,9,9,5,3,6c,6b+,6a+,Rood,Niet van toepassing,6c,6a+,6a,Blauw,Niet van toepassing,5,9,8,7,6,9,6,9,8,9,6,5,6,8,7,6,4,9,8,9,8,7,7,8,9,6,5,6,7,3,9,8
12/14/2020 22:12:27,29,Man,6,Ja,biover,1,1,1,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,7,8,8,7,4,6b+,6a+,6b+,Blauw,Niet van toepassing,6b+,6b,6b,Niet van toepassing,Niet van toepassing,7,6,5,4,5,10,6,7,6,6,6,9,4,9,8,6,5,3,6,7,8,6,6,6,2,0,4,1,6,5,7,5
12/14/2020 22:17:59,22,Man,1,Ja,Blackbox boulder,4,2,1,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,6,5,7,9,8,7a,6b+,Niet van toepassing,Zwart,Niet van toepassing,6c,6a+,Niet van toepassing,Rood,Niet van toepassing,7,6,6,7,8,8,4,9,7,8,6,7,5,5,8,7,6,5,8,9,2,2,6,8,7,2,6,9,5,9,8,9
12/14/2020 22:20:44,46,Man,26,Ja,Blueberry Hill,1.5,0,0.5,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,8,8,7,6,6,6c+,6b,6b,Oranje,6A,6b,6a+,6a+,Oranje,6A,6,8,7,9,8,9,9,9,8,7,6,8,7,8,7,7,6,6,7,6,7,9,9,7,5,6,6,0,6,2,8,8
12/14/2020 22:22:02,28,Vrouw,7,Ja,Rhino,2.5,2,1,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,Nee,5,9,9,9,5,6c+,6c+,7a,Rood,6A+,6c,6c,6b+,Blauw,<5A,5,8,6,6,7,9,6,6,9,7,6,6,8,5,7,4,7,10,4,6,7,0,9,5,9,9,7,0,5,0,7,9
12/14/2020 22:23:21,23,Vrouw,14,Ja,Bleau,4,2,0,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,9,8,8,6,6,7b,6c,6b+,Wit,7A+,7a,6b,Niet van toepassing,Wit,6B,6,8,6,9,10,8,6,7,8,9,8,7,10,7,6,7,9,10,6,8,2,8,7,3,4,5,6,1,5,7,9,4
12/14/2020 22:23:33,23,Man,4,Ja,Blackbox,4.5,2,0,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,7,5,10,8,6,7a+,7a,7a,>Wit,7B,7a,6b+,6a,Zwart,7A,8,6,2,7,6,8,3,3,8,9,7,7,8,10,9,10,9,8,8,8,7,7,9,10,9,9,10,10,8,9,9,10
12/14/2020 22:43:39,21,Vrouw,2,Nee,Blueberry Hill Kortrijk,2,0,4,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,10,10,10,3,0,6b,Niet van toepassing,Niet van toepassing,Blauw,Niet van toepassing,6a+,Niet van toepassing,Niet van toepassing,Blauw,Niet van toepassing,7,7,5,7,4,8,2,5,9,6,8,3,3,1,5,6,5,4,5,7,3,7,4,5,5,5,7,2,3,1,9,6
12/14/2020 22:45:31,28,Man,16,Ja,Sportoase leuven,1.5,0,0,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Ja,9,8,7,6,5,7a,6c,6b,Niet van toepassing,Niet van toepassing,7a,6c,6b,Niet van toepassing,Niet van toepassing,7,9,9,9,9,9,7,7,8,8,8,8,8,8,7,8,7,7,6,7,9,9,7,9,7,5,7,4,7,7,8,7
12/14/2020 22:51:21,40,Vrouw,4,Ja,Bleau,2,2,1,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,4,10,8,6,3,6b,6a,5c,Blauw,5C,6b,5b,5b,Oranje,5C,8,9,7,1,6,10,8,1,7,8,2,9,7,10,8,9,6,8,7,5,3,3,10,6,5,5,8,0,3,0,10,10
12/14/2020 22:57:55,38,Man,22,Ja,Rhino,1,0,0,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,10,9,9,9,9,7b,7a,6c+,Zwart,6C+,6c+,6a,6a,Rood,6B+,7,7,8,10,8,8,8,9,8,10,8,10,9,8,8,8,10,8,7,8,6,10,10,6,6,8,8,9,7,9,9,10
12/14/2020 23:02:29,35,Man,2,Ja,Brugge,2,0,0,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Nee,Nee,8,10,6,8,8,7a,6c,6a+,Niet van toepassing,Niet van toepassing,7a+,6a+,6a+,Niet van toepassing,Niet van toepassing,4,9,9,4,7,9,7,9,9,8,6,7,6,8,8,5,9,4,7,7,8,8,8,6,6,7,6,6,7,7,9,9
12/14/2020 23:36:40,28,Vrouw,3,Ja,Blue Berry Hill,1.5,0,0,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,10,8,8,6,7,6b+,6a+,6a,Blauw,6A,6b,6a,6a+,Blauw,Niet van toepassing,3,10,8,6,9,8,7,7,7,10,6,9,8,9,6,9,4,4,5,4,1,9,9,6,6,2,6,3,5,2,8,8
12/14/2020 23:37:09,45,Man,5,Ja,bloso brugge,1,0,0,Ja,Ja,Nee,Nee,Nee,Ja,Ja,Ja,Nee,7,9,6,3,0,6a+,6a,5c,Niet van toepassing,Niet van toepassing,6a,6a,5c,Niet van toepassing,Niet van toepassing,6,8,6,7,7,9,7,7,9,7,7,6,5,9,8,6,5,8,5,6,8,4,7,5,5,2,6,2,7,5,6,6
